22:35:01.352 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:14.294 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:14.294 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:35:16.454 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:16.454 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:17.354 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:17.354 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:19.471 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:19.471 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:20.267 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:20.267 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:20.267 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:35:22.553 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:22.553 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:23.331 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:23.331 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:25.540 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:25.540 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:26.193 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:26.193 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:28.601 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:28.601 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:29.251 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:29.251 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:29.251 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
