22:33:00.482 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:13.678 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:13.678 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:13.678 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:33:15.616 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:15.616 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:16.714 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:16.714 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:18.598 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:18.598 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:19.826 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:19.826 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:19.826 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:33:21.641 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:21.641 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:22.869 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:22.869 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:24.669 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:24.669 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:25.936 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:25.936 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:27.729 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:27.729 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:28.995 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:28.997 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:28.997 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:33:30.731 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:30.731 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:31.934 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:31.934 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:33.832 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:33.832 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:34.848 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:34.848 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:34.848 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:33:36.868 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:36.868 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:37.913 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:37.913 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:39.889 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:39.889 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:40.954 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:40.954 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:42.924 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:42.924 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:43.927 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:43.927 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:43.927 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:33:45.965 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:45.965 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:46.832 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:46.832 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:48.932 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:48.932 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:49.880 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:49.880 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:49.880 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:33:52.040 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:52.040 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:52.941 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:52.941 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:55.118 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:55.118 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:55.807 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:55.807 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:58.140 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:33:58.140 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:58.860 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:33:58.860 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:33:58.860 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
